"","key","value"
"119","Gender","Male"
"120","Gender","Female"
"121","Gender","Male"
"122","Gender","Female"
"123","Gender","Female"
"124","Gender","Male"
"125","Gender","Male"
"126","Gender","Female"
"127","Gender",NA
"128","Gender","Male"
"129","Gender","Male"
"130","Gender","Male"
"131","Gender","Male"
"132","Gender","Male"
"133","Gender","Male"
"134","Gender","Male"
"135","Gender","Male"
"136","Gender","Male"
"137","Gender","Female"
"138","Gender","Male"
"139","Gender","Male"
"140","Gender","Male"
"141","Gender","Male"
"142","Gender","Male"
"143","Gender","Male"
"144","Gender","Male"
"145","Gender","Male"
"146","Gender","Female"
"147","Gender","Female"
"148","Gender","Male"
"149","Gender","Female"
"150","Gender","Male"
"151","Gender","Male"
"152","Gender","Male"
"153","Gender","Male"
"154","Gender","Male"
"155","Gender","Male"
"156","Gender","Male"
"157","Gender","Male"
"158","Gender","Male"
"159","Gender","Male"
"160","Gender","Male"
"161","Gender","Male"
"162","Gender","Male"
"163","Gender","Male"
"164","Gender","Male"
"165","Gender","Male"
"166","Gender","Male"
"167","Gender","Female"
"168","Gender","Male"
"169","Gender","Male"
"170","Gender","Male"
"171","Gender","Male"
"172","Gender",NA
"173","Gender","Male"
"174","Gender","Male"
"175","Gender","Male"
"176","Gender","Male"
"177","Gender","Male"
"178","Gender","Male"
"179","Gender","Male"
"180","Gender","Male"
"181","Gender","Male"
"182","Gender","Male"
"183","Gender","Male"
"184","Gender","Male"
"185","Gender","Female"
"186","Gender","Male"
"187","Gender","Male"
"188","Gender","Male"
"189","Gender",NA
"190","Gender","Male"
"191","Gender","Male"
"192","Gender","Male"
"193","Gender","Male"
"194","Gender","Male"
"195","Gender","Male"
"196","Gender","Male"
"197","Gender","Male"
"198","Gender","Female"
"199","Gender","Female"
"200","Gender","Male"
"201","Gender","Male"
"202","Gender","Male"
"203","Gender","Male"
"204","Gender","Male"
"205","Gender","Male"
"206","Gender","Female"
"207","Gender","Female"
"208","Gender","Male"
"209","Gender","Male"
"210","Gender","Male"
"211","Gender","Female"
"212","Gender","Male"
"213","Gender","Male"
"214","Gender","Male"
"215","Gender","Male"
"216","Gender","Male"
"217","Gender","Male"
"218","Gender","Male"
"219","Gender","Male"
"220","Gender","Female"
"221","Gender","Male"
"222","Gender","Male"
"223","Gender","Male"
"224","Gender","Male"
"225","Gender","Male"
"226","Gender","Male"
"227","Gender","Male"
"228","Gender","Male"
"229","Gender","Male"
"230","Gender","Male"
"231","Gender","Male"
"232","Gender","Male"
"233","Gender","Male"
"234","Gender","Female"
"235","Gender","Male"
"236","Gender","Male"
"237","Gender","Male"
"238","Gender","Female"
"239","Gender","Female"
"240","Gender","Male"
"241","Gender","Male"
"242","Gender","Male"
"243","Gender","Male"
"244","Gender","Male"
"245","Gender","Male"
"246","Gender","Male"
"247","Gender","Male"
"248","Gender","Male"
"249","Gender","Male"
"250","Gender","Male"
"251","Gender","Male"
"252","Gender","Female"
"253","Gender","Male"
"254","Gender","Male"
"255","Gender","Male"
"256","Gender","Female"
"257","Gender","Male"
"258","Gender","Male"
"259","Gender","Male"
"260","Gender","Male"
"261","Gender","Male"
"262","Gender","Male"
"263","Gender","Female"
"264","Gender","Female"
"265","Gender","Male"
"266","Gender","Male"
"267","Gender","Male"
"268","Gender","Male"
"269","Gender","Female"
"270","Gender","Female"
"271","Gender","Female"
"272","Gender","Male"
"273","Gender","Male"
"274","Gender","Male"
"275","Gender","Male"
"276","Gender","Male"
"277","Gender","Male"
"278","Gender","Male"
"279","Gender","Male"
"280","Gender","Female"
"281","Gender","Male"
"282","Gender","Male"
"283","Gender","Male"
"284","Gender","Female"
"285","Gender","Male"
"286","Gender","Male"
"287","Gender","Female"
"288","Gender","Male"
"289","Gender","Female"
"290","Gender","Male"
"291","Gender","Male"
"292","Gender","Male"
"293","Gender","Male"
"294","Gender","Female"
"295","Gender","Male"
"296","Gender","Male"
"297","Gender","Male"
"298","Gender","Female"
"299","Gender","Female"
"300","Gender","Male"
"301","Gender","Male"
"302","Gender","Male"
"303","Gender","Female"
"304","Gender","Male"
"305","Gender","Male"
"306","Gender","Male"
"307","Gender","Female"
"308","Gender","Female"
"309","Gender","Male"
"310","Gender","Male"
"311","Gender","Female"
"312","Gender","Male"
"313","Gender","Female"
"314","Gender","Male"
"315","Gender",NA
"316","Gender","Male"
"317","Gender","Male"
"318","Gender","Male"
"319","Gender","Female"
"320","Gender","Male"
"321","Gender","Male"
"322","Gender","Male"
"323","Gender","Male"
"324","Gender","Female"
"325","Gender","Male"
"326","Gender","Male"
"327","Gender","Male"
"328","Gender","Male"
"329","Gender","Female"
"330","Gender","Female"
"331","Gender","Male"
"332","Gender","Male"
"333","Gender","Male"
"334","Gender","Male"
"335","Gender",NA
"336","Gender","Male"
"337","Gender","Male"
"338","Gender","Male"
"339","Gender","Female"
"340","Gender","Female"
"341","Gender","Male"
"342","Gender","Female"
"343","Gender","Male"
"344","Gender","Male"
"345","Gender","Male"
"346","Gender","Male"
"347","Gender","Male"
"348","Gender","Male"
"349","Gender","Male"
"350","Gender","Male"
"351","Gender","Male"
"352","Gender","Male"
"353","Gender","Male"
"354","Gender","Female"
"355","Gender","Female"
"356","Gender","Female"
"357","Gender","Male"
"358","Gender","Male"
"359","Gender","Male"
"360","Gender","Male"
"361","Gender","Female"
"362","Gender","Male"
"363","Gender","Male"
"364","Gender","Male"
"365","Gender","Male"
"366","Gender","Male"
"367","Gender","Male"
"368","Gender","Male"
"369","Gender","Male"
"370","Gender","Male"
"371","Gender","Female"
"372","Gender","Male"
"373","Gender","Male"
"374","Gender","Male"
"375","Gender","Female"
"376","Gender","Male"
"377","Gender","Male"
"378","Gender","Male"
"379","Gender","Male"
"380","Gender","Male"
"381","Gender","Male"
"382","Gender","Male"
"383","Gender","Female"
"384","Gender","Male"
"385","Gender","Male"
"386","Gender","Male"
"387","Gender","Male"
"388","Gender","Male"
"389","Gender","Male"
"390","Gender","Male"
"391","Gender","Male"
"392","Gender","Male"
"393","Gender","Male"
"394","Gender","Male"
"395","Gender","Male"
"396","Gender","Male"
"397","Gender","Female"
"398","Gender","Male"
"399","Gender","Male"
"400","Gender","Female"
"401","Gender","Male"
"402","Gender","Male"
"403","Gender","Male"
"404","Gender","Female"
"405","Gender","Female"
"406","Gender","Female"
"407","Gender","Male"
"408","Gender","Female"
"409","Gender","Male"
"410","Gender","Male"
"411","Gender","Female"
"412","Gender","Male"
"413","Gender","Male"
"414","Gender","Male"
"415","Gender","Female"
"416","Gender","Female"
"417","Gender","Female"
"418","Gender","Male"
"419","Gender","Male"
"420","Gender","Male"
"421","Gender","Male"
"422","Gender","Female"
"423","Gender","Male"
"424","Gender","Male"
"425","Gender","Male"
"426","Gender","Male"
"427","Gender","Female"
"428","Gender","Male"
"429","Gender","Male"
"430","Gender","Male"
"431","Gender","Female"
"432","Gender","Male"
"433","Gender","Male"
"434","Gender","Male"
"435","Gender","Male"
"436","Gender","Female"
"437","Gender","Male"
"438","Gender","Male"
"439","Gender","Male"
"440","Gender","Female"
"441","Gender","Male"
"442","Gender","Male"
"443","Gender","Male"
"444","Gender","Male"
"445","Gender","Male"
"446","Gender","Male"
"447","Gender","Male"
"448","Gender","Male"
"449","Gender","Male"
"450","Gender","Male"
"451","Gender","Male"
"452","Gender","Male"
"453","Gender","Male"
"454","Gender","Male"
"455","Gender","Male"
"456","Gender","Male"
"457","Gender","Male"
"458","Gender","Male"
"459","Gender","Male"
"460","Gender","Male"
"461","Gender",NA
"462","Gender","Male"
"463","Gender","Male"
"464","Gender","Female"
"465","Gender","Male"
"466","Gender","Male"
"467","Gender","Male"
"468","Gender",NA
"469","Gender","Female"
"470","Gender","Male"
"471","Gender","Male"
"472","Gender","Male"
"473","Gender","Male"
"474","Gender","Female"
"475","Gender","Male"
"476","Gender","Male"
"477","Gender","Male"
"478","Gender",NA
"479","Gender","Male"
"480","Gender","Male"
"481","Gender","Female"
"482","Gender","Male"
"483","Gender","Male"
"484","Gender","Male"
"485","Gender","Male"
"486","Gender","Male"
"487","Gender","Male"
"488","Gender","Male"
"489","Gender","Male"
"490","Gender","Male"
"491","Gender","Male"
"492","Gender","Male"
"493","Gender","Male"
"494","Gender","Female"
"495","Gender","Male"
"496","Gender","Female"
"497","Gender","Male"
"498","Gender","Male"
"499","Gender","Male"
"500","Gender","Male"
"501","Gender","Female"
"502","Gender","Female"
"503","Gender","Male"
"504","Gender","Male"
"505","Gender","Male"
"506","Gender","Male"
"507","Gender","Male"
"508","Gender",NA
"509","Gender","Male"
"510","Gender","Female"
"511","Gender","Male"
"512","Gender","Male"
"513","Gender","Male"
"514","Gender","Male"
"515","Gender","Male"
"516","Gender","Male"
"517","Gender","Female"
"518","Gender","Male"
"519","Gender","Male"
"520","Gender","Female"
"521","Gender","Male"
"522","Gender","Male"
"523","Gender","Male"
"524","Gender","Male"
"525","Gender","Male"
"526","Gender","Male"
"527","Gender","Male"
"528","Gender","Male"
"529","Gender","Male"
"530","Gender","Male"
"531","Gender","Male"
"532","Gender","Male"
"533","Gender","Male"
"534","Gender","Male"
"535","Gender","Female"
"536","Gender","Male"
"537","Gender","Male"
"538","Gender","Male"
"539","Gender","Male"
"540","Gender","Male"
"541","Gender","Female"
"542","Gender","Female"
"543","Gender","Female"
"544","Gender","Male"
"545","Gender","Female"
"546","Gender","Male"
"547","Gender","Male"
"548","Gender","Male"
"549","Gender","Female"
"550","Gender","Male"
"551","Gender","Male"
"552","Gender","Male"
"553","Gender","Male"
"554","Gender","Male"
"555","Gender","Male"
"556","Gender","Male"
"557","Gender","Female"
"558","Gender","Male"
"559","Gender","Male"
"560","Gender","Female"
"561","Gender","Male"
"562","Gender","Female"
"563","Gender","Male"
"564","Gender","Male"
"565","Gender","Male"
"566","Gender","Male"
"567","Gender","Male"
"568","Gender","Male"
"569","Gender","Female"
"570","Gender","Male"
"571","Gender","Male"
"572","Gender","Male"
"573","Gender","Male"
"574","Gender","Male"
"575","Gender","Male"
"576","Gender","Male"
"577","Gender",NA
"578","Gender","Male"
"579","Gender","Male"
"580","Gender","Male"
"581","Gender","Male"
"582","Gender","Male"
"583","Gender","Female"
"584","Gender","Male"
"585","Gender","Male"
"586","Gender","Male"
"587","Gender","Male"
"588","Gender","Female"
"589","Gender",NA
"590","Gender","Male"
"591","Gender","Male"
"592","Gender","Male"
"593","Gender",NA
"594","Gender","Male"
"595","Gender","Male"
"596","Gender","Male"
"597","Gender","Male"
"598","Gender","Male"
"599","Gender","Male"
"600","Gender","Male"
"601","Gender","Female"
"602","Gender","Male"
"603","Gender","Male"
"604","Gender","Male"
"605","Gender","Female"
"606","Gender","Male"
"607","Gender","Male"
"608","Gender","Male"
"609","Gender","Male"
"610","Gender","Female"
"611","Gender","Male"
"612","Gender","Male"
"613","Gender","Male"
"614","Gender","Female"
"615","Married","No"
"616","Married","Yes"
"617","Married","Yes"
"618","Married","Yes"
"619","Married","No"
"620","Married","Yes"
"621","Married","Yes"
"622","Married","Yes"
"623","Married","Yes"
"624","Married","Yes"
"625","Married","Yes"
"626","Married","Yes"
"627","Married","Yes"
"628","Married","No"
"629","Married","Yes"
"630","Married","No"
"631","Married","No"
"632","Married","No"
"633","Married","Yes"
"634","Married","Yes"
"635","Married","Yes"
"636","Married","Yes"
"637","Married","Yes"
"638","Married","Yes"
"639","Married","Yes"
"640","Married","Yes"
"641","Married","Yes"
"642","Married","Yes"
"643","Married","No"
"644","Married","No"
"645","Married","Yes"
"646","Married","No"
"647","Married","No"
"648","Married","Yes"
"649","Married","No"
"650","Married","Yes"
"651","Married","Yes"
"652","Married","Yes"
"653","Married","No"
"654","Married","No"
"655","Married","No"
"656","Married","No"
"657","Married","Yes"
"658","Married","Yes"
"659","Married","Yes"
"660","Married","No"
"661","Married","Yes"
"662","Married","Yes"
"663","Married","Yes"
"664","Married","No"
"665","Married","Yes"
"666","Married","No"
"667","Married","No"
"668","Married","Yes"
"669","Married","Yes"
"670","Married","Yes"
"671","Married","Yes"
"672","Married","Yes"
"673","Married","Yes"
"674","Married","Yes"
"675","Married","Yes"
"676","Married","Yes"
"677","Married","Yes"
"678","Married","Yes"
"679","Married","No"
"680","Married","Yes"
"681","Married","No"
"682","Married","Yes"
"683","Married","Yes"
"684","Married","No"
"685","Married","Yes"
"686","Married","Yes"
"687","Married","No"
"688","Married","Yes"
"689","Married","Yes"
"690","Married","No"
"691","Married","No"
"692","Married","Yes"
"693","Married","Yes"
"694","Married","Yes"
"695","Married","No"
"696","Married","Yes"
"697","Married","Yes"
"698","Married","Yes"
"699","Married","Yes"
"700","Married","No"
"701","Married","Yes"
"702","Married","Yes"
"703","Married","No"
"704","Married","Yes"
"705","Married","Yes"
"706","Married","Yes"
"707","Married","Yes"
"708","Married","No"
"709","Married","No"
"710","Married","No"
"711","Married","Yes"
"712","Married","Yes"
"713","Married","Yes"
"714","Married","Yes"
"715","Married","Yes"
"716","Married","No"
"717","Married","Yes"
"718","Married","Yes"
"719","Married",NA
"720","Married","Yes"
"721","Married","Yes"
"722","Married","No"
"723","Married","Yes"
"724","Married","Yes"
"725","Married","No"
"726","Married","Yes"
"727","Married","Yes"
"728","Married","No"
"729","Married","No"
"730","Married","Yes"
"731","Married","Yes"
"732","Married","Yes"
"733","Married","Yes"
"734","Married","No"
"735","Married","Yes"
"736","Married","No"
"737","Married","No"
"738","Married","Yes"
"739","Married","Yes"
"740","Married","No"
"741","Married","Yes"
"742","Married","No"
"743","Married","Yes"
"744","Married","Yes"
"745","Married","No"
"746","Married","No"
"747","Married","No"
"748","Married","Yes"
"749","Married","No"
"750","Married","Yes"
"751","Married","Yes"
"752","Married","Yes"
"753","Married","No"
"754","Married","Yes"
"755","Married","Yes"
"756","Married","No"
"757","Married","No"
"758","Married","Yes"
"759","Married","Yes"
"760","Married","Yes"
"761","Married","Yes"
"762","Married","Yes"
"763","Married","No"
"764","Married","Yes"
"765","Married","No"
"766","Married","Yes"
"767","Married","No"
"768","Married","Yes"
"769","Married","No"
"770","Married","Yes"
"771","Married","Yes"
"772","Married","Yes"
"773","Married","No"
"774","Married","Yes"
"775","Married","Yes"
"776","Married","Yes"
"777","Married","Yes"
"778","Married","Yes"
"779","Married","Yes"
"780","Married","Yes"
"781","Married","Yes"
"782","Married","Yes"
"783","Married","No"
"784","Married","Yes"
"785","Married","Yes"
"786","Married","Yes"
"787","Married","Yes"
"788","Married","Yes"
"789","Married","Yes"
"790","Married","Yes"
"791","Married","Yes"
"792","Married","Yes"
"793","Married","Yes"
"794","Married","No"
"795","Married","Yes"
"796","Married","No"
"797","Married","Yes"
"798","Married","Yes"
"799","Married","Yes"
"800","Married","Yes"
"801","Married","Yes"
"802","Married","Yes"
"803","Married","Yes"
"804","Married","Yes"
"805","Married","No"
"806","Married","No"
"807","Married","Yes"
"808","Married","No"
"809","Married","No"
"810","Married","Yes"
"811","Married","No"
"812","Married","No"
"813","Married","Yes"
"814","Married","No"
"815","Married","Yes"
"816","Married","No"
"817","Married","Yes"
"818","Married","Yes"
"819","Married","Yes"
"820","Married","No"
"821","Married","No"
"822","Married","No"
"823","Married","No"
"824","Married","No"
"825","Married","No"
"826","Married","Yes"
"827","Married","Yes"
"828","Married","Yes"
"829","Married","Yes"
"830","Married","Yes"
"831","Married","Yes"
"832","Married","Yes"
"833","Married","Yes"
"834","Married","Yes"
"835","Married","Yes"
"836","Married","Yes"
"837","Married","No"
"838","Married","Yes"
"839","Married","Yes"
"840","Married","Yes"
"841","Married","Yes"
"842","Married","Yes"
"843","Married",NA
"844","Married","No"
"845","Married","Yes"
"846","Married","Yes"
"847","Married","No"
"848","Married","No"
"849","Married","Yes"
"850","Married","Yes"
"851","Married","Yes"
"852","Married","No"
"853","Married","No"
"854","Married","Yes"
"855","Married","Yes"
"856","Married","Yes"
"857","Married","No"
"858","Married","Yes"
"859","Married","Yes"
"860","Married","No"
"861","Married","Yes"
"862","Married","Yes"
"863","Married","Yes"
"864","Married","Yes"
"865","Married","Yes"
"866","Married","No"
"867","Married","No"
"868","Married","Yes"
"869","Married","No"
"870","Married","No"
"871","Married","No"
"872","Married","Yes"
"873","Married","Yes"
"874","Married","Yes"
"875","Married","Yes"
"876","Married","No"
"877","Married","No"
"878","Married","No"
"879","Married","No"
"880","Married","No"
"881","Married","Yes"
"882","Married","Yes"
"883","Married","No"
"884","Married","No"
"885","Married","No"
"886","Married","Yes"
"887","Married","No"
"888","Married","Yes"
"889","Married","Yes"
"890","Married","Yes"
"891","Married","Yes"
"892","Married","Yes"
"893","Married","Yes"
"894","Married","Yes"
"895","Married","No"
"896","Married","Yes"
"897","Married","Yes"
"898","Married","No"
"899","Married","Yes"
"900","Married","No"
"901","Married","No"
"902","Married","Yes"
"903","Married","No"
"904","Married","No"
"905","Married","Yes"
"906","Married","Yes"
"907","Married","Yes"
"908","Married","No"
"909","Married","Yes"
"910","Married","Yes"
"911","Married","Yes"
"912","Married","Yes"
"913","Married","No"
"914","Married","Yes"
"915","Married","Yes"
"916","Married","Yes"
"917","Married","No"
"918","Married","Yes"
"919","Married","No"
"920","Married","No"
"921","Married","No"
"922","Married","No"
"923","Married","No"
"924","Married","Yes"
"925","Married","No"
"926","Married","No"
"927","Married","No"
"928","Married","Yes"
"929","Married","Yes"
"930","Married","Yes"
"931","Married","Yes"
"932","Married","Yes"
"933","Married","No"
"934","Married","Yes"
"935","Married","Yes"
"936","Married","Yes"
"937","Married","Yes"
"938","Married","No"
"939","Married","Yes"
"940","Married","Yes"
"941","Married","No"
"942","Married","Yes"
"943","Married","Yes"
"944","Married","No"
"945","Married","No"
"946","Married","No"
"947","Married","No"
"948","Married","Yes"
"949","Married","Yes"
"950","Married","Yes"
"951","Married","Yes"
"952","Married","Yes"
"953","Married","No"
"954","Married","No"
"955","Married","Yes"
"956","Married","No"
"957","Married","Yes"
"958","Married","Yes"
"959","Married","Yes"
"960","Married","Yes"
"961","Married","Yes"
"962","Married","Yes"
"963","Married","Yes"
"964","Married","Yes"
"965","Married","Yes"
"966","Married","No"
"967","Married","Yes"
"968","Married","Yes"
"969","Married","Yes"
"970","Married","No"
"971","Married","Yes"
"972","Married","Yes"
"973","Married","Yes"
"974","Married","Yes"
"975","Married","No"
"976","Married","Yes"
"977","Married","Yes"
"978","Married","Yes"
"979","Married","No"
"980","Married","No"
"981","Married","No"
"982","Married","No"
"983","Married","Yes"
"984","Married","Yes"
"985","Married","No"
"986","Married","Yes"
"987","Married","Yes"
"988","Married","No"
"989","Married","No"
"990","Married","Yes"
"991","Married","Yes"
"992","Married","Yes"
"993","Married","No"
"994","Married","Yes"
"995","Married","Yes"
"996","Married","No"
"997","Married","No"
"998","Married","No"
"999","Married","Yes"
"1000","Married","No"
"1001","Married","No"
"1002","Married","Yes"
"1003","Married","Yes"
"1004","Married","Yes"
"1005","Married","No"
"1006","Married","Yes"
"1007","Married","Yes"
"1008","Married","Yes"
"1009","Married","Yes"
"1010","Married","Yes"
"1011","Married","No"
"1012","Married","Yes"
"1013","Married","No"
"1014","Married","No"
"1015","Married","Yes"
"1016","Married","No"
"1017","Married","No"
"1018","Married","No"
"1019","Married","No"
"1020","Married","No"
"1021","Married","Yes"
"1022","Married","No"
"1023","Married","Yes"
"1024","Married","Yes"
"1025","Married","No"
"1026","Married","Yes"
"1027","Married","Yes"
"1028","Married","Yes"
"1029","Married","Yes"
"1030","Married","No"
"1031","Married","No"
"1032","Married","Yes"
"1033","Married","Yes"
"1034","Married","Yes"
"1035","Married","Yes"
"1036","Married","No"
"1037","Married","Yes"
"1038","Married","Yes"
"1039","Married","Yes"
"1040","Married","Yes"
"1041","Married","No"
"1042","Married","Yes"
"1043","Married","Yes"
"1044","Married","No"
"1045","Married","No"
"1046","Married","No"
"1047","Married","No"
"1048","Married","Yes"
"1049","Married","No"
"1050","Married",NA
"1051","Married","No"
"1052","Married","Yes"
"1053","Married","No"
"1054","Married","Yes"
"1055","Married","No"
"1056","Married","Yes"
"1057","Married","No"
"1058","Married","No"
"1059","Married","Yes"
"1060","Married","Yes"
"1061","Married","Yes"
"1062","Married","Yes"
"1063","Married","Yes"
"1064","Married","No"
"1065","Married","Yes"
"1066","Married","Yes"
"1067","Married","Yes"
"1068","Married","Yes"
"1069","Married","No"
"1070","Married","Yes"
"1071","Married","Yes"
"1072","Married","Yes"
"1073","Married","No"
"1074","Married","Yes"
"1075","Married","Yes"
"1076","Married","Yes"
"1077","Married","Yes"
"1078","Married","No"
"1079","Married","No"
"1080","Married","No"
"1081","Married","Yes"
"1082","Married","Yes"
"1083","Married","Yes"
"1084","Married","Yes"
"1085","Married","Yes"
"1086","Married","Yes"
"1087","Married","Yes"
"1088","Married","No"
"1089","Married","No"
"1090","Married","Yes"
"1091","Married","Yes"
"1092","Married","Yes"
"1093","Married","Yes"
"1094","Married","Yes"
"1095","Married","No"
"1096","Married","Yes"
"1097","Married","Yes"
"1098","Married","Yes"
"1099","Married","Yes"
"1100","Married","Yes"
"1101","Married","No"
"1102","Married","Yes"
"1103","Married","Yes"
"1104","Married","No"
"1105","Married","No"
"1106","Married","Yes"
"1107","Married","No"
"1108","Married","No"
"1109","Married","Yes"
"1110","Married","Yes"
"1111","Married","Yes"
"1112","Married","Yes"
"1113","Married","Yes"
"1114","Married","No"
"1115","Married","No"
"1116","Married","No"
"1117","Married","Yes"
"1118","Married","Yes"
"1119","Married","Yes"
"1120","Married","Yes"
"1121","Married","Yes"
"1122","Married","No"
"1123","Married","Yes"
"1124","Married","No"
"1125","Married","No"
"1126","Married","Yes"
"1127","Married","Yes"
"1128","Married","Yes"
"1129","Married","No"
"1130","Married","Yes"
"1131","Married","Yes"
"1132","Married","Yes"
"1133","Married","No"
"1134","Married","No"
"1135","Married","Yes"
"1136","Married","No"
"1137","Married","Yes"
"1138","Married","Yes"
"1139","Married","No"
"1140","Married","Yes"
"1141","Married","Yes"
"1142","Married","Yes"
"1143","Married","No"
"1144","Married","No"
"1145","Married","Yes"
"1146","Married","Yes"
"1147","Married","No"
"1148","Married","No"
"1149","Married","No"
"1150","Married","No"
"1151","Married","Yes"
"1152","Married","No"
"1153","Married","Yes"
"1154","Married","Yes"
"1155","Married","Yes"
"1156","Married","No"
"1157","Married","No"
"1158","Married","Yes"
"1159","Married","Yes"
"1160","Married","Yes"
"1161","Married","No"
"1162","Married","No"
"1163","Married","No"
"1164","Married","Yes"
"1165","Married","Yes"
"1166","Married","Yes"
"1167","Married","Yes"
"1168","Married","Yes"
"1169","Married","Yes"
"1170","Married","Yes"
"1171","Married","No"
"1172","Married","Yes"
"1173","Married","Yes"
"1174","Married","Yes"
"1175","Married","Yes"
"1176","Married","Yes"
"1177","Married","Yes"
"1178","Married","No"
"1179","Married","Yes"
"1180","Married","Yes"
"1181","Married","No"
"1182","Married","Yes"
"1183","Married","No"
"1184","Married","Yes"
"1185","Married","Yes"
"1186","Married","Yes"
"1187","Married","Yes"
"1188","Married","Yes"
"1189","Married","Yes"
"1190","Married","Yes"
"1191","Married","Yes"
"1192","Married","No"
"1193","Married","Yes"
"1194","Married","No"
"1195","Married","Yes"
"1196","Married","No"
"1197","Married","Yes"
"1198","Married","Yes"
"1199","Married","Yes"
"1200","Married","Yes"
"1201","Married","Yes"
"1202","Married","No"
"1203","Married","No"
"1204","Married","Yes"
"1205","Married","Yes"
"1206","Married","Yes"
"1207","Married","No"
"1208","Married","Yes"
"1209","Married","Yes"
"1210","Married","No"
"1211","Married","Yes"
"1212","Married","No"
"1213","Married","Yes"
"1214","Married","Yes"
"1215","Married","No"
"1216","Married","Yes"
"1217","Married","Yes"
"1218","Married","No"
"1219","Married","Yes"
"1220","Married","Yes"
"1221","Married","Yes"
"1222","Married","Yes"
"1223","Married","Yes"
"1224","Married","No"
"1225","Married","Yes"
"1226","Married","Yes"
"1227","Married","Yes"
"1228","Married","No"
"1229","Dependents","0"
"1230","Dependents","1"
"1231","Dependents","0"
"1232","Dependents","0"
"1233","Dependents","0"
"1234","Dependents","2"
"1235","Dependents","0"
"1236","Dependents","3+"
"1237","Dependents","2"
"1238","Dependents","1"
"1239","Dependents","2"
"1240","Dependents","2"
"1241","Dependents","2"
"1242","Dependents","0"
"1243","Dependents","2"
"1244","Dependents","0"
"1245","Dependents","1"
"1246","Dependents","0"
"1247","Dependents","0"
"1248","Dependents","0"
"1249","Dependents","0"
"1250","Dependents","1"
"1251","Dependents","0"
"1252","Dependents","2"
"1253","Dependents","1"
"1254","Dependents","0"
"1255","Dependents","0"
"1256","Dependents","2"
"1257","Dependents","0"
"1258","Dependents","2"
"1259","Dependents","1"
"1260","Dependents","0"
"1261","Dependents","1"
"1262","Dependents","0"
"1263","Dependents","3+"
"1264","Dependents","0"
"1265","Dependents","0"
"1266","Dependents","0"
"1267","Dependents","0"
"1268","Dependents","0"
"1269","Dependents","0"
"1270","Dependents","0"
"1271","Dependents","0"
"1272","Dependents","0"
"1273","Dependents","0"
"1274","Dependents","0"
"1275","Dependents","1"
"1276","Dependents","0"
"1277","Dependents","0"
"1278","Dependents","0"
"1279","Dependents","0"
"1280","Dependents","0"
"1281","Dependents","0"
"1282","Dependents","2"
"1283","Dependents","1"
"1284","Dependents","2"
"1285","Dependents","0"
